Entity_ID:ID,Entity_Name,:Label,CreateTimeStamp,EFFDT,TERMDT,HashKey,Version,Status,Entity_Type,Entity_Parent_Name,Entity_Parent_Type,coordinate,Snipets
1A1I4F8I95HTR3M1CS9CJR60FB,RelationRows,Column,20230801172336,20230801172336,99991231000000,1A1I4F8I95HTR3M1CS9CJR60FB,1,I,Column,RS-5,Select_list,`[{"hashCode":"0","x":35,"y":8},{"hashCode":"0","x":35,"y":9}]`,`select * from final`
10TC2NV91QQ2VGBHQARTFFE8NP,customer_id,Column,20230801172336,20230801172336,99991231000000,10TC2NV91QQ2VGBHQARTFFE8NP,1,I,Column,RS-5,Select_list,`[{"hashCode":"0","x":35,"y":8},{"hashCode":"0","x":35,"y":9}]`,`select * from final`
U21N54MCJ3Q0E270OV40L3H1O,first_name,Column,20230801172336,20230801172336,99991231000000,U21N54MCJ3Q0E270OV40L3H1O,1,I,Column,RS-5,Select_list,`[{"hashCode":"0","x":35,"y":8},{"hashCode":"0","x":35,"y":9}]`,`select * from final`
2712ST54ECCNHSRHVTSUA97F6B,first_order_date,Column,20230801172336,20230801172336,99991231000000,2712ST54ECCNHSRHVTSUA97F6B,1,I,Column,RS-5,Select_list,`[{"hashCode":"0","x":35,"y":8},{"hashCode":"0","x":35,"y":9}]`,`select * from final`
88TQNLS1939HKOCDPJNN89PNG,last_name,Column,20230801172336,20230801172336,99991231000000,88TQNLS1939HKOCDPJNN89PNG,1,I,Column,RS-5,Select_list,`[{"hashCode":"0","x":35,"y":8},{"hashCode":"0","x":35,"y":9}]`,`select * from final`
3F07LTBEBL0IOHDHCEL631LSQA,lifetime_value,Column,20230801172336,20230801172336,99991231000000,3F07LTBEBL0IOHDHCEL631LSQA,1,I,Column,RS-5,Select_list,`[{"hashCode":"0","x":35,"y":8},{"hashCode":"0","x":35,"y":9}]`,`select * from final`
5POASV3MA0TV0SGPID6IPNNRTC,most_recent_order_date,Column,20230801172336,20230801172336,99991231000000,5POASV3MA0TV0SGPID6IPNNRTC,1,I,Column,RS-5,Select_list,`[{"hashCode":"0","x":35,"y":8},{"hashCode":"0","x":35,"y":9}]`,`select * from final`
4P1UD5LSPVTG06CMO9JL2OTU8J,number_of_orders,Column,20230801172336,20230801172336,99991231000000,4P1UD5LSPVTG06CMO9JL2OTU8J,1,I,Column,RS-5,Select_list,`[{"hashCode":"0","x":35,"y":8},{"hashCode":"0","x":35,"y":9}]`,`select * from final`
7IDEHCLFPLPNFR4SAPJOFPB2LA,coalesce,Column,20230801172336,20230801172336,99991231000000,7IDEHCLFPLPNFR4SAPJOFPB2LA,1,I,Column,coalesce,Function,`[{"hashCode":"0","x":28,"y":9},{"hashCode":"0","x":28,"y":17}]`,`        coalesce(customer_orders.number_of_orders, 0) as number_of_orders`
5VNLUVCR38TGD9DK3DMFIRJMK7,count,Column,20230801172336,20230801172336,99991231000000,5VNLUVCR38TGD9DK3DMFIRJMK7,1,I,Column,count,Function,`[{"hashCode":"0","x":14,"y":9},{"hashCode":"0","x":14,"y":14}]`,`        count(order_id) as number_of_orders,`
441P303RPQLS85CL2071UQPNVC,max,Column,20230801172336,20230801172336,99991231000000,441P303RPQLS85CL2071UQPNVC,1,I,Column,max,Function,`[{"hashCode":"0","x":13,"y":9},{"hashCode":"0","x":13,"y":12}]`,`        max(order_date) as most_recent_order_date,`
6ABAHPM0K7VDSM9EP3EQILL2NS,min,Column,20230801172336,20230801172336,99991231000000,6ABAHPM0K7VDSM9EP3EQILL2NS,1,I,Column,min,Function,`[{"hashCode":"0","x":12,"y":9},{"hashCode":"0","x":12,"y":12}]`,`        min(order_date) as first_order_date,`
3IK3CE6RAKRGVP9LSKN8B2HC8M,sum,Column,20230801172336,20230801172336,99991231000000,3IK3CE6RAKRGVP9LSKN8B2HC8M,1,I,Column,sum,Function,`[{"hashCode":"0","x":15,"y":9},{"hashCode":"0","x":15,"y":12}]`,`        sum(amount) as lifetime_value`
6QD07BDGMTIA3PD677EL9FE8AG,*,Column,20230801172340,20230801172340,99991231000000,6QD07BDGMTIA3PD677EL9FE8AG,1,I,Column,stg_orders,Table,`[{"hashCode":"0","x":2,"y":12},{"hashCode":"0","x":2,"y":13}]`,
5I16H4G6LT8QOP7CESOJ2LT0KC,customer_id,Column,20230801172340,20230801172340,99991231000000,5I16H4G6LT8QOP7CESOJ2LT0KC,1,I,Column,stg_orders,Table,`[{"hashCode":"0","x":22,"y":9},{"hashCode":"0","x":22,"y":27}]`,
38JJOSEQD6FESFBBGUA0L1F83R,order_date,Column,20230801172340,20230801172340,99991231000000,38JJOSEQD6FESFBBGUA0L1F83R,1,I,Column,stg_orders,Table,`[{"hashCode":"0","x":23,"y":9},{"hashCode":"0","x":23,"y":26}]`,
76HBRKNBGS5832OB82LSSJKPKJ,order_id,Column,20230801172340,20230801172340,99991231000000,76HBRKNBGS5832OB82LSSJKPKJ,1,I,Column,stg_orders,Table,`[{"hashCode":"0","x":27,"y":33},{"hashCode":"0","x":27,"y":48}]`,
1DM3DM9P1AIB7M77O3BLACGJIU,*,Column,20230801172340,20230801172340,99991231000000,1DM3DM9P1AIB7M77O3BLACGJIU,1,I,Column,stg_payments,Table,`[{"hashCode":"0","x":6,"y":12},{"hashCode":"0","x":6,"y":13}]`,
JMEJQISNS3MKLLB3S8VJQQN5V,amount,Column,20230801172340,20230801172340,99991231000000,JMEJQISNS3MKLLB3S8VJQQN5V,1,I,Column,stg_payments,Table,`[{"hashCode":"0","x":12,"y":47},{"hashCode":"0","x":12,"y":53}]`,
4M4TBNNN0NG1FO5CJP3UTUF7A2,order_id,Column,20230801172340,20230801172340,99991231000000,4M4TBNNN0NG1FO5CJP3UTUF7A2,1,I,Column,stg_payments,Table,`[{"hashCode":"0","x":11,"y":9},{"hashCode":"0","x":11,"y":17}]`,
1TK90LHSUGQ2U3G3QI6M984J0Q,status,Column,20230801172340,20230801172340,99991231000000,1TK90LHSUGQ2U3G3QI6M984J0Q,1,I,Column,stg_payments,Table,`[{"hashCode":"0","x":12,"y":23},{"hashCode":"0","x":12,"y":29}]`,
7TDU7NK8SIFJJKBJ54FO1CEOEF,amount,Column,20230801172340,20230801172340,99991231000000,7TDU7NK8SIFJJKBJ54FO1CEOEF,1,I,Column,CTE-FINAL-1,With_cte,`[{"hashCode":"0","x":24,"y":9},{"hashCode":"0","x":24,"y":53}]`,
65K6EPF9AQK6G258VEUG0HT8FJ,customer_id,Column,20230801172340,20230801172340,99991231000000,65K6EPF9AQK6G258VEUG0HT8FJ,1,I,Column,CTE-FINAL-1,With_cte,`[{"hashCode":"0","x":22,"y":9},{"hashCode":"0","x":22,"y":27}]`,
5KRP9FSEKU9JRRM95GNGV3920,order_date,Column,20230801172340,20230801172340,99991231000000,5KRP9FSEKU9JRRM95GNGV3920,1,I,Column,CTE-FINAL-1,With_cte,`[{"hashCode":"0","x":23,"y":9},{"hashCode":"0","x":23,"y":26}]`,
38AEMHRF1VFLPVG1RIB16BIPBK,order_id,Column,20230801172340,20230801172340,99991231000000,38AEMHRF1VFLPVG1RIB16BIPBK,1,I,Column,CTE-FINAL-1,With_cte,`[{"hashCode":"0","x":21,"y":9},{"hashCode":"0","x":21,"y":24}]`,
2HDMETLVDLNS1KDDJ4S1AEPBPV,*,Column,20230801172340,20230801172340,99991231000000,2HDMETLVDLNS1KDDJ4S1AEPBPV,1,I,Column,CTE-ORDERS-1,With_cte,`[{"hashCode":"0","x":2,"y":12},{"hashCode":"0","x":2,"y":13}]`,
6TEG0C1NJS6EVCDLU7SVL66DTF,CUSTOMER_ID,Column,20230801172340,20230801172340,99991231000000,6TEG0C1NJS6EVCDLU7SVL66DTF,1,I,Column,CTE-ORDERS-1,With_cte,`[{"hashCode":"0","x":2,"y":12},{"hashCode":"0","x":2,"y":13}]`,
12ME4J7A58P4L7DUFRO05RDH4I,ORDER_DATE,Column,20230801172340,20230801172340,99991231000000,12ME4J7A58P4L7DUFRO05RDH4I,1,I,Column,CTE-ORDERS-1,With_cte,`[{"hashCode":"0","x":2,"y":12},{"hashCode":"0","x":2,"y":13}]`,
