Entity_ID;Entity_Name;Entity_Type;Entity_Parent_Name;Entity_Parent_Type;Label;CreateTimeStamp;EFFDT;TERMDT;HashKey;Version;Status
Snowflake~DEFAULT~DEFAULT~CTE-FINAL-1~59~amount;amount;Column;CTE-FINAL-1;With_cte;Column;20230801172340;20230801172340;99991231000000;7TDU7NK8SIFJJKBJ54FO1CEOEF;1;I
Snowflake~DEFAULT~DEFAULT~CTE-FINAL-1~57~customer_id;customer_id;Column;CTE-FINAL-1;With_cte;Column;20230801172340;20230801172340;99991231000000;65K6EPF9AQK6G258VEUG0HT8FJ;1;I
Snowflake~DEFAULT~DEFAULT~CTE-FINAL-1~58~order_date;order_date;Column;CTE-FINAL-1;With_cte;Column;20230801172340;20230801172340;99991231000000;5KRP9FSEKU9JRRM95GNGV3920;1;I
Snowflake~DEFAULT~DEFAULT~CTE-FINAL-1~56~order_id;order_id;Column;CTE-FINAL-1;With_cte;Column;20230801172340;20230801172340;99991231000000;38AEMHRF1VFLPVG1RIB16BIPBK;1;I
Snowflake~DEFAULT~DEFAULT~CTE-ORDERS-1~16~*;*;Column;CTE-ORDERS-1;With_cte;Column;20230801172340;20230801172340;99991231000000;2HDMETLVDLNS1KDDJ4S1AEPBPV;1;I
Snowflake~DEFAULT~DEFAULT~CTE-ORDERS-1~16_1~CUSTOMER_ID;CUSTOMER_ID;Column;CTE-ORDERS-1;With_cte;Column;20230801172340;20230801172340;99991231000000;6TEG0C1NJS6EVCDLU7SVL66DTF;1;I
Snowflake~DEFAULT~DEFAULT~CTE-ORDERS-1~16_2~ORDER_DATE;ORDER_DATE;Column;CTE-ORDERS-1;With_cte;Column;20230801172340;20230801172340;99991231000000;12ME4J7A58P4L7DUFRO05RDH4I;1;I
Snowflake~DEFAULT~DEFAULT~CTE-ORDERS-1~16_0~ORDER_ID;ORDER_ID;Column;CTE-ORDERS-1;With_cte;Column;20230801172340;20230801172340;99991231000000;4Q1DDAA5JDA2OP823CVUUTRB1N;1;I
Snowflake~DEFAULT~DEFAULT~CTE-ORDER_PAYMENTS-1~45~amount;amount;Column;CTE-ORDER_PAYMENTS-1;With_cte;Column;20230801172340;20230801172340;99991231000000;81DUM9DNUDG2H320NBQ1S651C;1;I
Snowflake~DEFAULT~DEFAULT~CTE-ORDER_PAYMENTS-1~44~order_id;order_id;Column;CTE-ORDER_PAYMENTS-1;With_cte;Column;20230801172340;20230801172340;99991231000000;4215DHR1490L50U3SGAFH8QBC2;1;I
Snowflake~DEFAULT~DEFAULT~CTE-PAYMENTS-1~32~*;*;Column;CTE-PAYMENTS-1;With_cte;Column;20230801172340;20230801172340;99991231000000;2LT58GPP23UV2LSAGT6AQ6H5JP;1;I
Snowflake~DEFAULT~DEFAULT~CTE-PAYMENTS-1~32_2~AMOUNT;AMOUNT;Column;CTE-PAYMENTS-1;With_cte;Column;20230801172340;20230801172340;99991231000000;782J1KRSVV7P7Q3IQ413G0TDLD;1;I
Snowflake~DEFAULT~DEFAULT~CTE-PAYMENTS-1~32_0~ORDER_ID;ORDER_ID;Column;CTE-PAYMENTS-1;With_cte;Column;20230801172340;20230801172340;99991231000000;U0TGNJS50NIOV89E01DD9V2B2;1;I
Snowflake~DEFAULT~DEFAULT~CTE-PAYMENTS-1~32_1~STATUS;STATUS;Column;CTE-PAYMENTS-1;With_cte;Column;20230801172340;20230801172340;99991231000000;41ENJR9R2CA84TEE6HSO3R5S31;1;I
Snowflake~DEFAULT~DEFAULT~RS-1~14~*;*;Column;RS-1;Select_list;Column;20230801172340;20230801172340;99991231000000;4NNFSUNSI94T7ETIKKR0FFCPKN;1;I
