Entity_ID;HashKey;EntityHashKey;Attribute;Value;CreateTimeStamp;EFFDT;TERMDT;Version;Status
Snowflake~DEFAULT~DEFAULT~RS-3~36~customer_id;3UOABKHVTVTKUT2NRTUAPLHMSS;3UAM8OMQSRDT9F1G1KT3RP2E32;coordinate;[{"hashCode":"0","x":11,"y":9},{"hashCode":"0","x":11,"y":20}];20230801172336;20230801172336;99991231000000;1;I
Snowflake~DEFAULT~DEFAULT~RS-3~37~first_order_date;3LCGIH2F8IJLJOPE4DMS0DRML9;1439MER1T46D8PMIFV1BEL5QRT;coordinate;[{"hashCode":"0","x":12,"y":9},{"hashCode":"0","x":12,"y":44}];20230801172336;20230801172336;99991231000000;1;I
Snowflake~DEFAULT~DEFAULT~RS-3~49~lifetime_value;67UNJDI7OAPS3F6TEA4R0ISTBH;5H9P60FHL939QHFHPVFS18737Q;coordinate;[{"hashCode":"0","x":15,"y":9},{"hashCode":"0","x":15,"y":38}];20230801172336;20230801172336;99991231000000;1;I
Snowflake~DEFAULT~DEFAULT~RS-3~41~most_recent_order_date;6PB8LE6K4DF791884NMORJ6G4G;2II6SU5CJV250O7N2ABSAN5COL;coordinate;[{"hashCode":"0","x":13,"y":9},{"hashCode":"0","x":13,"y":50}];20230801172336;20230801172336;99991231000000;1;I
Snowflake~DEFAULT~DEFAULT~RS-3~45~number_of_orders;3C91H2SLFESV2VQV2BUGAHRRJ4;2OIMPDT2DRK6IFLHHJ7V1BQ7MC;coordinate;[{"hashCode":"0","x":14,"y":9},{"hashCode":"0","x":14,"y":44}];20230801172336;20230801172336;99991231000000;1;I
Snowflake~DEFAULT~DEFAULT~RS-4~58~RelationRows;5UJ31ABLAFRRMRRP98VFR8CAOI;2Q21FA342TSSSK7M0A4H7HMRCE;coordinate;[{"hashCode":"0","x":22,"y":9},{"hashCode":"0","x":28,"y":74}];20230801172336;20230801172336;99991231000000;1;I
Snowflake~DEFAULT~DEFAULT~RS-4~60~customer_id;1LSSB2NERHDE22V1HR4H9T6O65;581QCL109IFN4KCQ9OH7P323B5;coordinate;[{"hashCode":"0","x":22,"y":9},{"hashCode":"0","x":22,"y":30}];20230801172336;20230801172336;99991231000000;1;I
Snowflake~DEFAULT~DEFAULT~RS-4~61~first_name;12SN1TGOCJJKC50F318NDRQU2L;2QSRGB8VUJ8GND57UDBI6IAEU8;coordinate;[{"hashCode":"0","x":23,"y":9},{"hashCode":"0","x":23,"y":29}];20230801172336;20230801172336;99991231000000;1;I
Snowflake~DEFAULT~DEFAULT~RS-4~63~first_order_date;3DJFHQ3AV7N8J19OS58MOOM7KB;5ILJKO7CQG5VS9A8H5UOH3B9BO;coordinate;[{"hashCode":"0","x":25,"y":9},{"hashCode":"0","x":25,"y":41}];20230801172336;20230801172336;99991231000000;1;I
Snowflake~DEFAULT~DEFAULT~RS-4~62~last_name;21GLNBOT41HK5AQRQCFS99IEJ6;1TM0OVFGCD0UMO55G21UBO6C5;coordinate;[{"hashCode":"0","x":24,"y":9},{"hashCode":"0","x":24,"y":28}];20230801172336;20230801172336;99991231000000;1;I
Snowflake~DEFAULT~DEFAULT~RS-4~65~lifetime_value;3Q904B22J2080V8CSGK7LC13BM;46DNQ90HA6RA9650E1US872SQE;coordinate;[{"hashCode":"0","x":27,"y":9},{"hashCode":"0","x":27,"y":39}];20230801172336;20230801172336;99991231000000;1;I
Snowflake~DEFAULT~DEFAULT~RS-4~64~most_recent_order_date;EKUNA7RJDDNVL6Q9N4V1U0OA3;3S3PO94PE191K4H3N0D0HF7H9G;coordinate;[{"hashCode":"0","x":26,"y":9},{"hashCode":"0","x":26,"y":47}];20230801172336;20230801172336;99991231000000;1;I
Snowflake~DEFAULT~DEFAULT~RS-4~66~number_of_orders;2DG80UNRH25VN64D3HBCPST3AU;543LVS9P6P1ORC2JVGNBS1P54A;coordinate;[{"hashCode":"0","x":28,"y":9},{"hashCode":"0","x":28,"y":74}];20230801172336;20230801172336;99991231000000;1;I
Snowflake~DEFAULT~DEFAULT~RS-5~78~RelationRows;31K0FT8E1JCM6THNBG6P9MLE3A;1A1I4F8I95HTR3M1CS9CJR60FB;coordinate;[{"hashCode":"0","x":35,"y":8},{"hashCode":"0","x":35,"y":9}];20230801172336;20230801172336;99991231000000;1;I
Snowflake~DEFAULT~DEFAULT~RS-5~80~customer_id;36OFPA16EU4RLO5V1KHSVJKCC3;10TC2NV91QQ2VGBHQARTFFE8NP;coordinate;[{"hashCode":"0","x":35,"y":8},{"hashCode":"0","x":35,"y":9}];20230801172336;20230801172336;99991231000000;1;I
Snowflake~DEFAULT~DEFAULT~RS-5~81~first_name;6D1N463BLMT23G2U04V5D4NJ16;U21N54MCJ3Q0E270OV40L3H1O;coordinate;[{"hashCode":"0","x":35,"y":8},{"hashCode":"0","x":35,"y":9}];20230801172336;20230801172336;99991231000000;1;I
Snowflake~DEFAULT~DEFAULT~RS-5~83~first_order_date;4FIO369CRP20UHOGDJNQ2U01HV;2712ST54ECCNHSRHVTSUA97F6B;coordinate;[{"hashCode":"0","x":35,"y":8},{"hashCode":"0","x":35,"y":9}];20230801172336;20230801172336;99991231000000;1;I
Snowflake~DEFAULT~DEFAULT~RS-5~82~last_name;4FU3IRFROVUCIGFQJBBJGUTF2;88TQNLS1939HKOCDPJNN89PNG;coordinate;[{"hashCode":"0","x":35,"y":8},{"hashCode":"0","x":35,"y":9}];20230801172336;20230801172336;99991231000000;1;I
Snowflake~DEFAULT~DEFAULT~RS-5~85~lifetime_value;3AL7AC4U7NHH2JNGQ5L5IIMNKJ;3F07LTBEBL0IOHDHCEL631LSQA;coordinate;[{"hashCode":"0","x":35,"y":8},{"hashCode":"0","x":35,"y":9}];20230801172336;20230801172336;99991231000000;1;I
Snowflake~DEFAULT~DEFAULT~RS-5~84~most_recent_order_date;1HKM5C7A9E59ANSTIU2GQTPM7S;5POASV3MA0TV0SGPID6IPNNRTC;coordinate;[{"hashCode":"0","x":35,"y":8},{"hashCode":"0","x":35,"y":9}];20230801172336;20230801172336;99991231000000;1;I
Snowflake~DEFAULT~DEFAULT~RS-5~86~number_of_orders;763H6NPUN8GBEEUF4UVGJ8JKF3;4P1UD5LSPVTG06CMO9JL2OTU8J;coordinate;[{"hashCode":"0","x":35,"y":8},{"hashCode":"0","x":35,"y":9}];20230801172336;20230801172336;99991231000000;1;I
Snowflake~DEFAULT~DEFAULT~COALESCE~69~coalesce;4M3ERLSEC0GECN8G99JUBD5VS6;7IDEHCLFPLPNFR4SAPJOFPB2LA;coordinate;[{"hashCode":"0","x":28,"y":9},{"hashCode":"0","x":28,"y":17}];20230801172336;20230801172336;99991231000000;1;I
Snowflake~DEFAULT~DEFAULT~COUNT~48~count;4GPURCPO8L7IC27RACJ7ILL1QO;5VNLUVCR38TGD9DK3DMFIRJMK7;coordinate;[{"hashCode":"0","x":14,"y":9},{"hashCode":"0","x":14,"y":14}];20230801172336;20230801172336;99991231000000;1;I
